day,well,type,n,sample,nutrients,dreissena,tea,lagerheimia,synechococcus,phyto,replicate,day_0_chlA,day_0_phycocyanin,day_1_chlA,day_1_phycocyanin,day_2_chlA,day_2_phycocyanin,day_7_chlA,day_7_phycocyanin,Dreissena_length,cells_per_ml
0,C08,background,364,32,1,1,1,1,0,L,4,39,7,38,4,25,4,69,5,15.32,14560
0,C09,algae,363,33,0,1,0,1,1,SL,2,25,72,17,30,15,23,15,4,13.46,14520
0,C09,background,1201,33,0,1,0,1,1,SL,2,25,72,17,30,15,23,15,4,13.46,48040
0,C10,algae,406,34,1,1,0,1,1,SL,3,24,108,31,121,35,133,22,5,14.21,16240
0,C10,background,738,34,1,1,0,1,1,SL,3,24,108,31,121,35,133,22,5,14.21,29520
0,C11,algae,325,35,0,1,1,1,1,SL,2,26,79,37,154,43,164,16,7,13.81,13e3
0,C11,background,755,35,0,1,1,1,1,SL,2,26,79,37,154,43,164,16,7,13.81,30200
0,C12,algae,471,36,1,0,1,1,0,L,2,42,5,46,6,49,5,53,6,NA,18840
0,C12,background,370,36,1,0,1,1,0,L,2,42,5,46,6,49,5,53,6,NA,14800
0,D01,algae,197,37,1,0,1,1,1,SL,3,35,127,46,172,62,254,46,64,NA,7880
0,D01,background,596,37,1,0,1,1,1,SL,3,35,127,46,172,62,254,46,64,NA,23840
0,D02,algae,99,38,0,1,0,0,1,S,3,13,127,9,45,12,38,16,4,14.94,3960
0,D02,background,580,38,0,1,0,0,1,S,3,13,127,9,45,12,38,16,4,14.94,23200
0,D03,algae,165,39,0,0,1,1,1,SL,1,28,83,38,147,41,111,25,26,NA,6600
0,D03,background,440,39,0,0,1,1,1,SL,1,28,83,38,147,41,111,25,26,NA,17600
0,D04,algae,151,40,1,0,0,0,1,S,4,21,258,39,302,48,309,17,58,NA,6040
0,D04,background,729,40,1,0,0,0,1,S,4,21,258,39,302,48,309,17,58,NA,29160
0,D05,algae,473,41,1,0,0,1,1,SL,2,32,130,40,146,53,207,35,67,NA,18920
0,D05,background,653,41,1,0,0,1,1,SL,2,32,130,40,146,53,207,35,67,NA,26120
0,D06,algae,335,42,0,0,1,1,1,SL,3,29,82,37,154,44,118,26,24,NA,13400
0,D06,background,428,42,0,0,1,1,1,SL,3,29,82,37,154,44,118,26,24,NA,17120
0,D07,algae,228,43,0,0,0,0,1,S,1,12,158,18,107,16,45,10,19,NA,9120
0,D07,background,933,43,0,0,0,0,1,S,1,12,158,18,107,16,45,10,19,NA,37320
0,D08,algae,221,44,0,1,1,0,1,S,1,16,160,25,176,35,184,44,10,14.87,8840
0,D08,background,1382,44,0,1,1,0,1,S,1,16,160,25,176,35,184,44,10,14.87,55280
0,D09,algae,579,45,0,1,1,1,0,L,3,35,6,19,4,16,3,30,6,16.03,23160
0,D09,background,992,45,0,1,1,1,0,L,3,35,6,19,4,16,3,30,6,16.03,39680
0,D10,algae,402,46,0,0,1,1,1,SL,2,29,80,38,152,45,140,27,23,NA,16080
0,D10,background,1597,46,0,0,1,1,1,SL,2,29,80,38,152,45,140,27,23,NA,63880
0,D11,algae,105,47,1,1,1,0,1,S,3,24,265,41,331,62,390,50,11,12.16,4200
0,D11,background,1658,47,1,1,1,0,1,S,3,24,265,41,331,62,390,50,11,12.16,66320
0,D12,algae,32,48,1,0,1,0,1,S,2,25,265,43,336,56,385,17,48,NA,1280
0,D12,background,704,48,1,0,1,0,1,S,2,25,265,43,336,56,385,17,48,NA,28160
0,E01,algae,164,49,0,0,1,1,1,SL,4,27,85,40,153,31,123,23,25,NA,6560
0,E01,background,319,49,0,0,1,1,1,SL,4,27,85,40,153,31,123,23,25,NA,12760
0,E02,algae,127,50,0,1,1,0,1,S,3,15,168,31,193,24,84,28,31,15.22,5080
0,E02,background,486,50,0,1,1,0,1,S,3,15,168,31,193,24,84,28,31,15.22,19440
0,E03,algae,493,51,1,1,0,1,0,L,2,46,6,40,5,30,5,69,7,12.51,19720
0,E03,background,468,51,1,1,0,1,0,L,2,46,6,40,5,30,5,69,7,12.51,18720
0,E04,algae,299,52,1,1,0,1,1,SL,2,33,129,31,111,27,83,17,5,13.37,11960
0,E04,background,318,52,1,1,0,1,1,SL,2,33,129,31,111,27,83,17,5,13.37,12720
0,E05,algae,533,53,1,0,0,1,0,L,2,42,5,49,6,42,6,45,6,NA,21320
0,E05,background,397,53,1,0,0,1,0,L,2,42,5,49,6,42,6,45,6,NA,15880
0,E06,algae,166,54,1,0,0,0,1,S,3,22,261,39,308,46,307,17,60,NA,6640
0,E06,background,589,54,1,0,0,0,1,S,3,22,261,39,308,46,307,17,60,NA,23560
0,E07,algae,456,55,0,0,1,1,0,L,2,35,23,37,5,32,4,36,5,NA,18240
0,E07,background,311,55,0,0,1,1,0,L,2,35,23,37,5,32,4,36,5,NA,12440
0,E08,algae,61,56,0,0,1,0,1,S,3,14,154,24,160,17,55,9,23,NA,2440
0,E08,background,507,56,0,0,1,0,1,S,3,14,154,24,160,17,55,9,23,NA,20280
0,E09,algae,401,57,1,1,1,1,0,L,3,42,5,33,5,22,4,53,14,11.27,16040
0,E09,background,358,57,1,1,1,1,0,L,3,42,5,33,5,22,4,53,14,11.27,14320
0,E10,algae,359,58,0,0,0,1,1,SL,4,26,79,35,114,35,89,23,11,NA,14360
0,E10,background,1001,58,0,0,0,1,1,SL,4,26,79,35,114,35,89,23,11,NA,40040
0,E11,algae,92,59,0,0,0,0,1,S,2,13,158,16,109,15,42,10,18,NA,3680
0,E11,background,1582,59,0,0,0,0,1,S,2,13,158,16,109,15,42,10,18,NA,63280
